,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_RESULT
14514,0,2.0,2.7,0.5,made
14515,0,25.0,4.6,0.8,missed
14516,1,3.2,1.1,1.5,made
14517,11,25.4,4.8,9.7,missed
14518,1,25.2,5.4,2.0,missed
14519,0,26.4,6.3,0.6,made
14520,5,15.4,5.5,4.9,missed
14521,8,3.2,1.4,8.5,made
14522,13,4.2,5.2,11.4,made
14523,0,24.9,10.1,1.2,made
14524,4,28.7,5.3,5.2,made
14525,0,24.9,7.0,1.0,missed
14526,1,24.4,4.2,1.0,made
14527,0,24.6,5.6,0.9,made
14528,0,24.7,6.8,1.5,missed
14529,5,21.0,3.8,5.0,made
14530,2,27.7,2.0,2.8,missed
14531,0,24.7,4.4,1.0,made
14532,5,25.1,5.9,5.8,missed
14533,6,17.0,3.5,5.8,missed
14534,0,22.4,4.7,0.5,made
14535,1,3.7,1.0,1.3,made
14536,0,16.6,3.2,0.8,made
14537,1,23.9,9.1,1.6,made
14538,3,42.5,5.4,2.6,missed
14539,5,2.4,4.0,5.9,missed
14540,0,3.1,9.3,1.1,made
14541,1,24.7,10.1,1.1,missed
14542,0,24.6,8.8,0.5,missed
14543,23,16.6,4.0,20.0,missed
14544,0,22.8,11.4,1.2,made
14545,3,4.3,0.5,4.6,made
14546,0,24.2,16.4,1.1,made
14547,4,24.8,4.5,8.4,missed
14548,0,23.4,9.7,0.8,made
14549,0,6.2,5.0,1.0,missed
14550,5,16.8,6.5,5.5,made
14551,5,23.7,3.2,5.6,made
14552,0,25.7,2.2,1.9,missed
14553,5,26.2,5.1,4.8,missed
14554,0,23.1,5.5,1.1,made
14555,9,4.6,4.5,6.6,made
14556,8,20.6,3.4,6.7,made
14557,0,24.7,3.4,0.8,missed
14558,0,6.0,2.1,1.8,missed
14559,8,16.5,0.9,7.1,missed
14560,1,24.8,0.7,1.7,missed
14561,0,22.1,1.8,0.7,missed
14562,6,6.1,1.6,5.5,made
14563,9,23.8,3.2,10.1,made
14564,0,26.3,2.9,0.0,missed
14565,7,5.8,3.0,6.2,made
14566,1,3.4,2.9,2.6,made
14567,6,6.7,1.7,7.3,made
14568,7,26.3,4.8,5.7,missed
14569,5,12.5,3.6,5.6,made
14570,5,11.9,4.2,6.6,missed
14571,1,18.6,12.6,1.9,made
14572,4,19.0,5.8,3.9,made
14573,6,25.4,3.5,5.0,made
14574,2,28.7,6.3,3.6,missed
14575,5,17.5,2.2,4.7,made
14576,6,26.6,13.6,5.0,missed
14577,7,6.1,3.2,9.8,missed
